,2018,2018,2019,2019,2020,2020,GERAL,GERAL
,ESTADO,Nº OCORRÊNCIAS,ESTADO,Nº OCORRÊNCIAS,ESTADO,Nº OCORRÊNCIAS,ESTADO,Nº OCORRÊNCIAS
0,MG,9066,MG,8720,MG,8374,MG,26160
1,SC,8497,SC,8428,SC,7220,SC,24145
2,PR,7952,PR,7708,PR,7190,PR,22850
3,RJ,4575,RJ,4606,RJ,4236,RJ,13417
4,SP,4516,RS,4595,RS,4176,RS,13216
5,RS,4445,SP,4377,SP,4043,SP,12936
6,BA,3555,BA,3471,BA,3456,BA,10482
7,GO,3464,GO,3354,GO,3228,GO,10046
8,PE,2715,ES,2842,PE,2560,ES,8018
9,ES,2642,PE,2736,ES,2534,PE,8011
10,MT,2631,MT,2137,MT,2195,MT,6963
11,CE,1697,CE,1694,CE,1571,CE,4962
12,RO,1629,PB,1564,MS,1540,RO,4648
13,PB,1588,RO,1533,RO,1486,PB,4553
14,MS,1530,RN,1437,PB,1401,MS,4505
15,RN,1416,MS,1435,RN,1337,RN,4190
16,PI,1371,PI,1346,PI,1203,PI,3920
17,MA,1272,DF,1090,MA,1154,MA,3501
18,PA,1260,MA,1075,DF,1040,PA,3040
19,DF,867,PA,817,PA,963,DF,2997
20,AL,691,AL,629,AL,628,AL,1948
21,TO,589,SE,612,TO,595,SE,1746
22,SE,559,TO,520,SE,575,TO,1704
23,RR,236,AC,254,AC,300,AC,789
24,AC,235,RR,237,RR,250,RR,723
25,AP,173,AP,128,AP,155,AP,456
26,AM,124,AM,101,AM,138,AM,363
